City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Komsomolskiy,UZ,2022-03-29 02:18:19,40.4272,71.7189,50.72,71,100,4.61
68,Port Elizabeth,ZA,2022-03-29 02:17:44,-33.918,25.5701,71.1,89,0,2.3
69,Slave Lake,CA,2022-03-29 02:23:03,55.2834,-114.769,31.98,80,0,2.3
70,Calama,CL,2022-03-29 02:23:03,-22.4667,-68.9333,55.89,26,0,5.75
71,Bredasdorp,ZA,2022-03-29 02:19:08,-34.5322,20.0403,62.8,75,100,4.05
72,Hermanus,ZA,2022-03-29 02:17:45,-34.4187,19.2345,61.81,76,66,9.33
73,Port Alfred,ZA,2022-03-29 02:19:06,-33.5906,26.891,72.99,65,10,1.95
74,Jamestown,US,2022-03-29 02:19:02,42.097,-79.2353,20.79,63,100,14.97
75,Periyanayakkanpalaiyam,IN,2022-03-29 02:23:04,11.15,76.9333,78.39,89,2,2.3
76,Provideniya,RU,2022-03-29 02:23:04,64.3833,-173.3,17.71,67,0,11.18
77,Mocuba,MZ,2022-03-29 02:23:05,-16.8392,36.9856,69.94,99,63,4.05
78,Hobyo,SO,2022-03-29 02:23:05,5.3505,48.5268,79.74,73,100,14.94
79,La Carolina,ES,2022-03-29 02:23:05,38.2756,-3.6153,50.25,88,100,2.46
80,Ancud,CL,2022-03-29 02:16:40,-41.8697,-73.8203,45.23,75,54,21.34
81,Aguililla,MX,2022-03-29 02:23:06,18.7333,-102.7333,69.8,52,0,6.38
82,Portland,US,2022-03-29 02:20:24,45.5234,-122.6762,58.98,79,75,8.05
83,Lanzhou,CN,2022-03-29 02:23:06,36.0564,103.7922,48.78,38,87,8.14
84,Kruisfontein,ZA,2022-03-29 02:23:06,-34.0033,24.7314,68.88,77,94,4.94
85,Bani,DO,2022-03-29 02:23:07,18.2833,-70.3333,74.86,77,95,10.8
86,Kununurra,AU,2022-03-29 02:19:22,-15.7667,128.7333,91.38,58,100,5.75
87,Arlit,NE,2022-03-29 02:23:07,18.7369,7.3853,74.25,6,6,5.95
88,Namibe,AO,2022-03-29 02:23:07,-15.1961,12.1522,69.6,75,53,8.46
89,Cherskiy,RU,2022-03-29 02:17:53,68.75,161.3,4.71,83,33,5.95
90,Mataura,NZ,2022-03-29 02:19:03,-46.1927,168.8643,69.08,52,85,1.97
91,Nikolskoye,RU,2022-03-29 02:17:55,59.7035,30.7861,25.88,89,100,6.11
92,Belmonte,BR,2022-03-29 02:24:08,-15.8631,-38.8828,77.85,82,97,6.04
93,Matara,LK,2022-03-29 02:24:08,5.9485,80.5353,80.31,79,42,3.58
94,Araci,BR,2022-03-29 02:24:08,-11.3333,-38.9667,72.03,86,99,6.78
95,Berlevag,NO,2022-03-29 02:24:09,70.8578,29.0864,26.4,78,100,26.06
96,Puerto Ayora,EC,2022-03-29 02:24:09,-0.7393,-90.3518,78.08,87,46,8.16
97,Sur,OM,2022-03-29 02:24:09,22.5667,59.5289,76.84,65,0,8.21
