City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Birin,NP,26.8865,88.0718,62.42,80,63,3.6,broken clouds
79,Bardiyah,LY,31.7561,25.0865,66.07,56,65,18.88,broken clouds
80,Hanting,CN,36.7708,119.2108,43.12,41,100,6.69,overcast clouds
81,Ginda,IN,30.6945,78.4932,58.28,23,0,6.8,clear sky
82,Ingham,US,42.6,-84.3833,35.55,67,100,14.97,overcast clouds
83,Thompson,CA,55.7435,-97.8558,19.56,73,100,9.22,overcast clouds
84,Klaksvik,FO,62.2266,-6.589,36.52,81,99,19.53,overcast clouds
85,Santa Maria Da Vitoria,BR,-13.3947,-44.1886,95.31,24,17,4.76,few clouds
86,Severo-Kurilsk,RU,50.6789,156.125,26.64,67,99,25.12,overcast clouds
87,Phan Thiet,VN,10.9333,108.1,76.91,85,100,7.18,overcast clouds
88,Gerash,IR,27.6652,54.1371,71.74,13,0,6.24,clear sky
89,Phuthaditjhaba,ZA,-28.5242,28.8158,56.57,72,5,3.83,clear sky
90,Tura,IN,25.5198,90.2201,70.59,88,59,4.81,broken clouds
91,Pevek,RU,69.7008,170.3133,-16.51,100,100,6.13,overcast clouds
92,Plettenberg Bay,ZA,-34.0527,23.3716,62.4,73,51,3.89,broken clouds
93,Baracoa,CU,20.3467,-74.4958,82.24,67,28,7.94,scattered clouds
94,Penco,CL,-36.7333,-72.9833,67.01,56,2,7.7,clear sky
95,Chiredzi,ZW,-21.05,31.6667,73.38,65,0,6.42,clear sky
96,Haines Junction,CA,60.7522,-137.5108,24.75,58,100,4.61,overcast clouds
97,Hithadhoo,MV,-0.6,73.0833,83.16,71,13,7.4,few clouds
98,Miri,MY,4.4148,114.0089,75.34,88,40,5.75,scattered clouds
99,Krasnoselkup,RU,65.7,82.4667,6.42,97,94,9.19,overcast clouds
100,Korla,CN,41.7597,86.1469,51.42,37,0,2.64,clear sky
